"Name","GP","PTS","All","QB","RB","WR","TE","All","Run","Run%","Pass","Pass%"
"San Francisco 49ers","17","28.9","85.8","18","28.1","29.6","10","60.2","29.4","48.7%","30.9","51.3%"
"Detroit Lions","17","27.1","82.1","17.8","26","25.2","13","66.9","29.4","44%","37.5","56%"
"Miami Dolphins","17","29.2","81.1","16.7","28.5","32.3","3.5","61.9","26.8","43.3%","35.1","56.7%"
"Dallas Cowboys","17","29.9","71.7","20.9","6.2","34.9","9.7","66","27.5","41.7%","38.5","58.3%"
"Los Angeles Rams","17","23.8","69","14.9","15.1","32.7","6.2","64.4","28.1","43.6%","36.3","56.4%"
"Green Bay Packers","17","22.5","68.4","19.5","7","34.2","7.7","61.9","25.9","41.9%","35.9","58.1%"
"Tampa Bay Buccaneers","17","20.5","68.2","16.7","16","29.1","6.4","61.6","25.8","41.9%","35.8","58.1%"
"New Orleans Saints","17","23.6","64.6","14.7","16.9","18.8","14.2","65.9","28.2","42.8%","37.7","57.2%"
"Kansas City Chiefs","17","21.8","64.3","17.3","14.9","18.6","13.5","63.5","24.5","38.6%","39","61.4%"
"Seattle Seahawks","17","21.4","64","13.9","16.1","30.6","3.4","58.5","22.5","38.4%","36.1","61.6%"
"Baltimore Ravens","17","28.4","61.5","19.9","10.3","18.6","12.8","63.3","31.8","50.3%","31.5","49.7%"
"Houston Texans","17","22.2","61.3","18.3","5","28.1","9.9","63.7","26.1","41%","37.6","59%"
"Philadelphia Eagles","17","25.5","58.6","21.9","4.8","25.3","6.6","65.4","30","45.9%","35.4","54.1%"
"Jacksonville Jaguars","17","22.2","57.8","17.5","18","10.1","12.2","65.5","26.6","40.7%","38.9","59.3%"
"Buffalo Bills","17","26.5","53.6","24.2","14.1","5.5","9.8","65.6","30.1","45.9%","35.5","54.1%"
"Cincinnati Bengals","17","21.5","53.1","17.9","3.5","25.9","5.9","61.6","22.5","36.5%","39.1","63.5%"
"Minnesota Vikings","17","20.2","51","4.4","7.6","24.4","14.6","63","23.1","36.7%","39.9","63.3%"
"Indianapolis Colts","17","23.3","48.7","4.3","10.7","24.2","9.5","64.4","28.2","43.8%","36.2","56.2%"
"Arizona Cardinals","17","19.4","44.9","9.5","16.4","8.9","10","62.8","27.7","44.1%","35.1","55.9%"
"Cleveland Browns","17","23.3","42.8","6.9","14.7","10.5","10.7","69.8","30.5","43.6%","39.4","56.4%"
"Carolina Panthers","17","13.9","41","11.2","14.8","10.6","4.4","64.5","26.2","40.6%","38.3","59.4%"
"Pittsburgh Steelers","17","17.9","39.2","0","20.4","13","5.8","60.5","28.6","47.3%","31.9","52.7%"
"New York Jets","17","15.8","39","0","15.6","16.4","7","61.9","22.8","36.8%","39.1","63.2%"
"Atlanta Falcons","17","18.9","36.9","0","20.3","10","6.5","64.2","30.7","47.8%","33.5","52.2%"
"Denver Broncos","17","21","36.3","1.6","14.8","15.4","4.5","59.8","26.5","44.4%","33.2","55.6%"
"Chicago Bears","17","21.2","34.8","3.5","6.4","15.7","9.1","64.5","31.4","48.7%","33.1","51.3%"
"New York Giants","17","15.6","31.8","9.4","0.6","19.6","2.2","62.2","26.7","43%","35.5","57%"
"Las Vegas Raiders","17","19.5","31.5","7.8","5.8","14.4","3.5","59.4","24.3","40.9%","35.1","59.1%"
"Los Angeles Chargers","17","20.4","31.4","18.2","0","11.7","1.6","65.1","25.4","39%","39.7","61%"
"Washington Commanders","17","19.4","28.6","0","12.8","13.3","2.5","62.4","21.1","33.9%","41.2","66.1%"
"Tennessee Titans","17","17.9","26.2","6.2","7.5","6.2","6.3","58.9","26.1","44.3%","32.8","55.7%"
"New England Patriots","17","13.9","24.3","0","8.6","9.8","5.8","60","24.4","40.7%","35.6","59.3%"
